Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
1170,3767,3997.4,4,3,5,5,3,0,0
4333,1641,598.18,0,4,2,6,3,0,1
4846,2955,5186.16,1,6,7,1,5,0,1
4146,2732,9117.73,6,5,6,6,3,0,1
622,2453,6010.28,5,0,5,6,3,0,0
3242,2422,1786.25,4,1,5,5,5,0,0
2521,2219,5318.84,7,2,2,1,0,0,0
140,3252,1906.92,5,4,4,7,1,1,2
659,3103,5461.86,2,4,5,1,3,0,1
4731,1779,5622.93,4,3,7,4,5,0,1
407,3544,9737.39,5,2,0,5,5,0,1
1429,1067,8158.05,7,1,7,1,2,1,7
1641,760,9156.22,3,4,2,3,0,0,0
3356,2828,8713.83,1,6,2,3,7,0,0
3595,4857,4768.88,5,0,5,4,6,0,2
575,850,5558.86,2,1,2,6,5,0,0
4073,3757,2723.65,4,7,7,4,1,1,2
1068,4060,933.09,7,3,5,3,3,0,0
1653,4856,843.93,6,4,1,6,6,0,0
623,858,1445.33,1,0,1,4,7,0,0
2996,2401,1795.53,1,5,7,1,0,0,1
1941,3133,2218.43,1,6,7,5,4,1,7
4066,4378,3576.78,4,4,7,7,1,1,6
1153,4033,4851.03,1,3,6,7,7,0,1
3267,1450,9833.84,7,5,6,1,4,1,3
1481,4699,477.2,0,5,4,3,0,0,1
2433,1728,2681.88,6,3,3,1,6,0,0
4393,3269,6155.17,5,3,6,3,1,1,6
2976,4491,779.55,2,0,2,7,6,0,0
4560,2467,8363.57,7,2,4,1,2,1,6
1472,170,1842.44,3,3,7,5,7,0,0
2967,1415,1656.08,0,6,1,1,1,1,3
4910,3457,8141.41,7,2,1,0,3,0,1
2170,1559,5074.86,6,3,2,7,4,1,6
4621,282,6298.35,7,3,7,1,7,0,1
4012,1331,3555.68,7,5,2,7,1,1,7
2675,1107,8986.85,1,6,1,3,1,1,5
686,193,5213.44,5,4,4,1,0,0,1
1964,438,2337.25,5,0,6,3,7,0,1
1612,4200,5188.36,3,2,2,5,7,0,0
3206,2280,2956.37,5,4,3,6,4,1,6
4459,4512,7423.29,2,6,4,3,7,0,1
2369,3166,57.54,0,5,6,0,5,0,0
3815,497,8084.03,1,4,0,5,7,0,1
2657,1738,1294.23,0,4,2,4,7,0,1
502,2932,7392.38,5,7,3,7,6,0,0
2587,16,6933.82,1,2,4,6,7,0,0
1794,3759,9169.14,4,5,0,0,1,1,6
666,1026,5403.71,5,6,6,7,6,0,0
3426,3812,702.82,2,6,4,5,3,0,0
4805,2382,4504.46,4,2,3,6,6,0,1
1557,674,1214.04,3,0,7,1,1,1,4
282,3766,5382.9,4,5,0,2,7,0,0
29,1407,1831.1,5,6,6,3,4,1,3
4759,3620,4777.0,1,6,7,7,0,0,1
2332,3801,2619.8,6,2,4,1,4,1,4
4482,636,6750.86,0,6,3,4,3,0,0
4839,297,9830.32,6,6,6,5,3,0,0
1448,1691,9798.21,2,1,5,4,7,0,1
4248,2822,1619.62,4,0,0,7,2,1,5
1955,3560,5258.46,3,0,7,4,5,0,1
524,1282,7697.74,0,7,6,3,7,0,1
1830,3486,7664.06,3,3,2,2,6,0,1
1541,455,8028.69,2,3,6,6,5,0,0
151,576,5165.97,2,6,5,6,1,1,4
2504,3635,4958.74,1,6,7,2,0,0,1
1575,997,8392.3,7,0,5,3,0,0,0
2312,3985,7412.15,0,4,2,5,4,1,4
3189,4242,8662.49,0,5,3,7,3,0,0
3501,305,3263.23,2,6,0,5,0,0,1
1206,1018,4395.63,1,0,3,1,3,0,0
2534,4831,8139.88,2,5,4,4,1,1,3
4147,3162,4988.6,0,0,5,5,3,0,0
4344,2623,5310.74,6,6,2,1,3,0,1
2155,3397,2825.78,5,4,2,7,4,1,2
879,1406,1978.38,7,5,7,7,5,0,0
3680,902,4995.58,5,1,4,6,2,1,7
626,4586,7693.96,4,6,2,5,2,1,5
206,3509,9785.35,7,0,7,0,5,0,1
200,1440,6294.28,5,2,7,0,4,1,3
227,2127,9566.31,0,4,5,1,7,0,1
3248,2760,6178.39,6,0,6,7,1,1,7
1709,2234,9903.66,0,0,0,7,2,1,2
2459,1335,9698.4,6,0,2,7,1,1,5
2455,2389,1172.24,4,1,3,5,1,1,2
3173,4649,7517.7,6,1,1,6,6,0,1
2416,462,4770.05,5,7,4,4,7,0,1
4975,4368,916.85,3,2,5,1,4,1,4
1293,3260,2199.81,4,7,6,5,5,0,0
1704,2718,1186.89,0,4,0,6,7,0,0
418,1706,8479.45,7,3,1,2,0,0,0
2614,1040,9033.05,0,4,1,0,4,1,2
3618,4400,4376.52,6,2,4,1,0,0,1
1370,2352,6841.41,3,5,1,0,4,1,5
2994,3833,2645.21,6,5,3,1,1,1,7
2487,2089,1193.02,4,7,0,7,6,0,1
1412,4402,6107.51,4,6,7,3,1,1,7
4039,2550,2387.18,5,1,6,4,7,0,1
1719,2369,4303.11,7,3,3,5,0,0,0
4250,3563,8328.33,6,5,0,4,7,0,0
3814,1445,3584.38,2,6,5,3,6,0,1
1788,3327,428.94,0,2,1,5,3,0,1
3302,489,2458.81,6,0,2,6,1,1,3
789,2013,2457.12,6,1,1,3,4,1,6
1516,704,4256.78,2,1,4,2,3,0,0
3431,461,8795.34,1,6,1,2,1,1,6
271,1998,3699.91,7,4,2,7,6,0,1
97,3595,6176.07,0,0,0,7,7,0,1
331,2424,1254.87,6,7,7,4,4,1,7
729,726,2385.83,4,3,4,5,5,0,0
736,3140,6253.98,6,0,3,2,0,0,0
1243,2439,7179.0,6,0,5,7,6,0,1
1856,2009,3336.07,0,7,2,1,3,0,0
2248,2158,6067.85,4,2,6,1,1,1,4
848,1669,1640.59,1,4,2,2,1,1,6
3054,13,1652.35,5,1,4,7,3,0,0
3585,3928,9620.21,5,5,4,6,0,0,1
4475,4800,5786.76,0,1,6,0,0,0,1
476,2139,3692.12,7,1,5,4,4,1,6
1695,3722,3726.57,5,3,6,6,2,1,5
3088,1383,5229.93,6,6,2,1,2,1,5
4167,4477,1649.19,5,7,6,3,3,0,0
3494,3353,7496.34,6,6,0,2,4,1,4
1108,2545,9477.5,4,5,6,4,4,1,2
2066,1745,2283.34,7,5,1,1,6,0,1
705,785,565.51,5,4,0,0,5,0,1
2050,995,5773.34,7,2,5,2,7,0,0
1321,910,7246.6,6,2,3,3,4,1,7
3198,794,9835.4,6,7,1,7,0,0,0
4288,4974,4448.67,6,3,0,1,4,1,3
2980,4642,7301.96,5,3,6,1,5,0,1
1743,4226,5952.14,1,4,3,5,3,0,1
4658,2683,4799.32,6,1,2,2,0,0,0
266,1519,7517.95,1,1,4,0,4,1,7
1454,1666,5678.32,4,6,4,1,5,0,1
2250,1665,7598.33,1,3,2,5,4,1,4
2151,3557,53.49,3,4,2,4,0,0,0
1893,2488,9175.43,3,2,1,7,7,0,0
210,1188,5122.15,3,4,2,6,5,0,1
4830,3831,827.42,4,2,7,0,1,1,3
3947,4255,7942.01,7,2,1,1,2,1,4
3029,2649,7403.13,4,4,5,3,4,1,5
3798,3296,9048.23,3,3,4,2,6,0,0
2730,4718,570.55,2,0,1,1,6,0,0
4334,944,2427.11,2,0,2,1,6,0,1
1455,4503,273.27,1,1,5,1,4,1,5
4407,52,3756.66,2,7,5,2,0,0,1
3406,1662,5957.62,2,1,2,2,7,0,0
697,4883,5794.1,1,3,2,7,6,0,0
3467,280,9131.22,5,3,0,3,7,0,0
268,134,7502.33,1,4,4,6,6,0,1
680,4916,3008.6,1,3,6,4,7,0,0
1048,3247,8156.57,5,5,7,5,7,0,0
1283,645,8543.7,0,0,7,5,1,1,6
1493,1567,7203.32,7,5,0,0,3,0,1
2294,1771,7903.33,7,0,5,4,5,0,1
3945,1733,3387.51,0,4,1,3,4,1,4
560,4628,2233.31,2,7,2,5,7,0,1
2758,1741,1387.85,5,7,2,4,3,0,0
954,3026,5073.74,7,7,2,6,7,0,1
4550,4506,707.43,7,0,2,1,7,0,0
3920,2540,6326.46,1,7,3,3,1,1,6
2226,4295,5025.56,7,4,2,6,4,1,4
4922,3339,95.13,5,6,5,1,5,0,1
4702,3439,5433.9,2,2,7,0,2,1,3
4314,17,850.86,5,3,3,3,4,1,7
2483,953,7256.26,2,1,5,7,5,0,0
4170,2574,5787.32,4,0,2,4,3,0,0
3293,4769,6816.37,5,4,5,6,5,0,1
1694,3859,276.98,3,4,7,7,4,1,5
983,4712,3012.63,7,6,2,0,1,1,2
3279,3209,8783.28,7,4,2,6,7,0,1
4826,2785,7750.81,3,7,6,2,0,0,1
3832,3425,1676.22,4,2,6,7,0,0,0
1055,2370,1393.15,7,5,0,7,2,1,4
2390,2719,8460.54,2,7,3,6,5,0,0
4151,4898,6002.3,0,2,2,6,6,0,0
4366,3370,5568.15,6,2,3,0,0,0,0
1268,4796,3016.86,5,3,1,0,1,1,7
1294,4267,1357.25,7,1,6,6,1,1,6
3637,3647,6430.5,0,4,5,4,2,1,7
942,771,9720.15,7,5,7,1,6,0,1
4081,4160,8904.22,3,7,0,0,0,0,1
4672,1864,8064.4,2,2,3,6,1,1,6
2818,4260,6888.36,1,1,0,5,3,0,0
743,730,3940.99,4,4,5,4,5,0,0
3989,2665,1950.43,3,2,3,7,5,0,1
3784,2173,7153.17,1,3,1,4,0,0,1
4713,4991,2300.92,2,0,6,2,4,1,7
375,1327,6464.24,3,1,5,5,1,1,3
2624,2016,7602.07,1,2,6,1,1,1,2
650,4188,401.58,2,0,5,6,2,1,7
4815,4685,1634.44,1,3,7,2,4,1,7
3980,3971,1308.77,2,6,2,3,6,0,0
298,913,4767.46,0,6,4,7,0,0,1
3764,1135,5850.75,3,4,7,2,3,0,0
2491,1403,1629.8,2,5,4,6,2,1,7
1129,4199,559.27,6,3,1,3,5,0,0
32,3743,3050.9,2,3,0,3,4,1,3
3695,3137,4671.4,5,0,2,1,1,1,5
3491,2121,2856.45,3,6,1,0,0,0,0
3002,846,3771.43,1,1,2,5,6,0,1
3262,3078,2578.28,6,4,3,4,1,1,5
1396,1842,4602.67,5,5,1,3,6,0,0
3876,4958,1917.79,4,0,4,6,5,0,1
1415,1502,7740.52,7,4,1,5,0,0,0
354,1029,1686.64,2,0,7,3,6,0,1
2048,2712,4252.6,2,5,1,3,2,1,4
1756,810,7688.95,0,1,7,7,2,1,7
1550,1176,3803.65,3,7,4,3,0,0,0
2538,1420,2118.81,0,0,5,6,3,0,0
4791,3188,5040.32,4,1,3,6,0,0,0
134,603,5877.32,7,1,5,2,6,0,1
4193,1338,3527.64,1,2,5,0,5,0,1
4652,4670,3933.66,6,5,6,6,0,0,1
1948,1815,2824.0,4,1,7,1,5,0,1
2214,4966,4516.03,1,3,2,5,6,0,0
2136,2776,8691.03,7,1,1,4,1,1,2
4946,3593,3303.5,6,5,4,7,6,0,0
3703,1822,5460.46,3,4,2,0,1,1,7
815,2630,1387.4,2,2,3,3,3,0,0
3428,819,4923.43,1,7,7,0,1,1,4
2313,1977,9992.23,6,2,7,5,5,0,0
4258,3407,1343.95,2,1,7,3,6,0,0
3209,1499,7140.95,7,5,4,2,6,0,1
4803,4254,2865.52,6,4,2,4,3,0,1
3580,616,6596.43,2,0,1,4,0,0,1
2642,4451,829.44,5,7,3,3,7,0,1
1042,3663,7444.55,4,4,4,6,0,0,1
1498,806,7810.45,5,0,0,1,3,0,0
281,1296,4027.57,0,5,4,0,6,0,0
4417,4885,9036.36,7,2,3,2,4,1,2
355,4039,1377.83,6,7,7,2,4,1,7
1330,1494,816.24,5,4,1,2,5,0,1
425,3941,1524.57,6,4,4,7,4,1,4
2599,2255,9203.25,0,3,4,6,3,0,1
4389,2018,5930.71,7,4,0,5,7,0,1
4676,1630,5763.62,0,0,2,2,0,0,1
4845,149,5643.82,3,3,2,1,2,1,5
3332,679,9822.58,7,2,0,7,1,1,3
953,2764,3060.86,4,2,1,2,4,1,7
4562,4360,5965.97,2,0,0,5,4,1,3
2652,520,1617.22,5,0,2,4,1,1,6
2904,2896,4241.54,0,1,6,3,2,1,4
4386,4094,5177.35,7,3,0,4,2,1,5
842,2274,4009.44,3,1,1,7,1,1,2
2863,3292,4045.53,1,2,3,4,7,0,1
4697,1394,6150.31,3,3,5,5,6,0,0
4092,207,7294.38,2,2,3,3,7,0,1
2935,3878,6221.05,3,5,5,3,6,0,0
4937,680,5752.3,3,7,6,0,1,1,5
818,2836,9120.48,5,4,1,1,5,0,0
1394,3589,5598.47,5,1,1,6,1,1,7
952,3492,521.08,2,7,4,6,5,0,0
1402,1582,8413.85,2,4,1,6,5,0,1
1626,711,3318.45,4,1,4,3,6,0,1
4781,4403,4893.87,3,7,0,1,2,1,3
4264,267,9943.05,6,6,6,3,0,0,1
4947,2076,7991.03,1,2,1,2,4,1,6
1723,2262,6261.44,6,7,7,3,6,0,1
3898,2324,7343.23,5,7,6,4,0,0,1
1986,1640,577.85,0,1,3,0,7,0,0
4136,1824,4799.42,1,7,0,4,3,0,1
2546,1172,6731.95,0,4,3,4,4,1,2
234,4121,8895.22,2,6,1,0,6,0,1
2590,2950,8530.8,1,0,0,0,6,0,1
3654,3259,3943.12,5,4,7,1,0,1,6
1880,3817,1768.57,7,3,1,6,0,0,0
2113,523,7818.28,4,3,7,2,6,0,0
2475,3311,6889.51,0,2,5,1,4,1,4
3003,1980,7556.33,6,3,3,3,1,1,5
18,1098,3337.42,2,2,0,4,1,1,4
1775,3700,4670.24,3,0,5,4,0,0,1
2420,2598,7489.75,7,1,3,6,4,1,3
3284,4964,3741.75,4,3,6,5,4,1,3
2713,1492,7684.54,4,4,7,7,4,1,5
2076,3911,1637.09,5,0,6,5,7,0,1
427,2305,2205.52,4,4,5,2,7,0,0
4063,3699,1116.26,5,7,7,5,7,0,1
1401,1577,4491.06,0,3,3,2,0,0,0
2271,1475,9523.22,2,3,7,4,6,0,1
2163,2790,7347.86,0,2,7,1,1,1,6
1237,1855,1639.65,4,2,7,1,6,0,0
2249,2915,3828.48,2,5,1,0,3,0,0
4370,315,5559.14,0,4,3,7,4,1,2
3867,1318,8591.59,3,4,7,1,6,0,0
2480,4252,922.58,3,0,5,3,1,1,6
96,2781,9045.0,4,1,4,5,0,0,1
2178,4510,4073.95,2,5,5,2,3,0,0
4091,569,2380.44,7,0,4,6,5,0,1
2672,26,9269.83,2,4,7,2,4,1,2
51,2937,6701.62,7,5,4,2,2,1,2
2636,4665,9828.97,0,7,3,0,6,0,1
21,3637,1366.08,7,6,5,2,0,0,1
3628,3390,3335.68,2,1,6,5,2,1,6
4187,1601,1729.65,2,6,0,2,2,1,5
1184,42,761.73,4,3,0,4,2,1,2
1023,2949,760.53,5,4,4,7,6,0,1
437,2283,4606.43,7,3,5,6,0,0,0
1110,386,4813.32,1,3,0,6,2,1,4
1940,4708,6679.89,4,7,4,5,0,0,0
4144,4942,9666.56,5,4,4,3,5,0,0
2502,4960,8493.93,7,2,2,2,0,0,0
550,3746,3252.79,3,0,3,3,0,0,1
4138,663,7328.23,6,5,5,4,3,0,1
3102,2454,5157.03,5,3,4,2,7,0,1
2724,1300,4687.13,6,6,7,3,7,0,0
3548,71,9499.93,2,5,3,5,4,1,6
1573,3391,6558.34,4,0,4,0,6,0,1
1502,3432,1546.73,4,6,0,7,3,0,1
4045,4010,4820.97,7,1,1,7,2,1,6
2912,2618,853.01,3,5,7,4,3,0,1
209,4693,3743.95,1,7,2,1,7,0,1
1803,1280,2623.87,0,5,2,3,2,1,5
4542,2333,7436.42,6,2,0,0,2,1,4
4595,1462,7879.84,1,5,5,2,1,1,3
4943,3263,4846.33,1,0,0,1,0,0,0
640,1861,1111.77,5,2,3,0,2,1,2
4705,3064,3352.23,5,4,3,7,4,1,5
2407,649,7102.45,2,3,5,3,5,0,1
1258,4018,9862.83,6,1,7,2,2,1,5
1992,175,4142.15,1,5,4,1,0,0,1
2752,3135,3338.47,6,4,2,3,0,0,1
3230,4882,9450.77,1,6,4,6,1,1,4
1275,2458,3337.83,1,2,4,4,0,0,0
4337,2969,10.09,1,7,3,2,0,0,1
2997,4223,1040.5,1,4,7,3,3,0,0
1726,4358,6318.45,7,3,6,5,2,1,2
1950,3281,8329.64,1,3,6,5,7,0,1
4428,4347,6505.29,5,3,4,1,1,1,3
3497,2632,9186.24,6,4,1,6,2,1,6
892,4432,4644.83,2,4,0,3,0,0,0
3533,2189,7073.45,3,6,0,4,3,0,1
4577,3993,8353.89,4,3,6,6,0,0,0
1932,519,3130.85,7,7,6,2,7,0,1
3700,4311,1108.55,2,6,7,6,1,1,4
1947,2398,2635.27,6,2,1,5,3,0,1
4109,2405,6127.91,7,4,3,1,2,1,2
4274,4030,1756.33,5,0,5,2,0,0,0
4346,3349,4898.64,7,4,7,5,2,1,6
4882,1963,555.26,4,7,5,4,0,0,1
3924,3956,4363.92,4,4,5,3,7,0,1
3151,1361,2177.16,1,2,3,7,3,0,1
1851,2865,1483.23,5,0,6,7,3,0,0
327,269,8532.5,5,1,3,4,7,0,0
1172,3687,3154.34,4,4,4,5,6,0,0
2277,2465,3107.16,0,0,3,3,5,0,1
1627,631,8748.97,7,3,5,1,2,1,5
4293,2608,3366.2,7,4,1,4,7,0,1
2708,3646,5421.25,4,6,3,5,3,0,0
4917,1222,5810.65,4,7,5,6,2,1,6
870,4035,246.82,1,3,4,6,5,0,1
2262,3581,3436.81,7,6,1,7,0,0,1
2449,4180,389.23,6,6,1,6,2,1,2
4268,700,4952.29,6,0,1,6,2,1,4
4150,4126,8790.76,7,6,3,1,4,1,4
2954,3702,2870.53,1,3,7,1,3,0,1
1989,433,3394.15,7,6,3,0,3,0,0
2766,2940,3392.06,2,7,3,6,5,0,0
2974,2693,2380.57,0,1,1,1,7,0,1
3362,3984,2055.35,6,6,1,7,3,0,1
4651,1472,6297.33,5,1,2,7,6,0,0
154,197,7257.8,0,6,7,1,0,0,0
249,724,7959.83,5,4,5,4,7,0,1
3474,4263,6659.81,6,1,2,6,5,0,1
3152,2321,4363.91,4,6,0,3,7,0,1
120,2066,5223.3,3,2,3,5,5,0,1
934,3302,1645.27,5,6,5,5,5,0,0
540,4561,8909.67,3,2,3,0,0,0,0
2882,1083,7026.12,5,4,1,5,0,0,1
1146,2546,352.97,6,5,2,7,5,0,0
1579,3879,9900.96,7,7,7,0,7,0,0
3712,4168,8777.04,6,7,5,1,7,0,1
3215,284,1984.09,0,2,5,3,5,0,1
2578,2845,1342.09,3,7,1,6,2,1,3
4981,549,7976.11,5,5,3,5,0,0,1
2676,2373,4412.66,1,6,3,7,7,0,1
1740,716,1460.66,4,7,7,0,4,1,6
133,888,5985.2,4,5,0,3,0,0,1
1486,924,4986.5,7,3,0,5,2,1,4
1080,2737,5037.15,4,6,2,2,0,0,1
2007,300,2818.7,6,0,0,5,0,0,1
3040,3804,811.48,0,1,0,3,7,0,1
4404,824,5566.81,3,7,1,3,2,1,6
4749,4517,8573.83,3,0,3,3,2,1,5
63,4284,7053.16,4,0,6,1,1,1,6
2961,3478,5960.98,5,7,2,7,4,0,4
1111,800,3843.57,6,2,1,5,2,1,7
4966,3268,4082.4,0,7,6,5,1,1,3
132,4925,291.56,7,5,7,2,6,0,0
3522,3115,1377.65,7,0,5,3,0,0,0
4422,1622,9862.77,0,0,4,2,2,1,2
2773,2730,5558.37,4,7,7,1,6,0,0
4201,3073,3470.38,0,2,4,0,4,1,6
1724,3463,6089.62,7,4,5,5,0,0,1
1432,4143,7617.89,0,7,3,6,7,0,0
2389,1528,6312.8,4,0,6,6,1,1,3
4134,202,1255.47,6,5,4,1,4,1,2
1121,3524,4500.83,5,2,1,6,1,1,4
4724,4238,4360.97,3,4,1,2,0,0,1
1787,4120,5858.66,5,2,1,4,7,0,1
391,1742,1984.86,3,0,0,6,4,1,3
4036,3989,721.29,7,6,3,3,2,1,4
2842,4697,3920.15,2,6,2,6,0,0,1
3724,3732,9161.33,6,6,1,7,4,1,4
1065,527,4366.21,0,3,3,7,5,0,1
3791,2055,2929.35,6,2,3,6,0,0,0
212,959,571.39,3,4,3,6,5,0,0
172,4178,5294.92,0,5,4,3,0,0,1
1901,1053,5343.78,3,5,0,0,1,1,5
4763,3352,1237.04,6,1,3,4,1,1,2
2363,4394,659.74,4,1,5,4,0,0,1
1463,443,13.33,1,0,2,0,2,1,4
1113,592,4190.16,7,2,0,5,2,1,7
3096,1144,6618.8,5,7,6,7,3,0,1
3514,3871,3152.3,4,6,7,6,5,0,0
642,2906,7490.86,3,4,6,5,1,1,2
4205,1092,6421.02,6,3,4,2,0,0,1
708,1714,5658.84,6,2,3,6,0,0,0
692,1319,1624.55,1,2,4,5,2,1,6
3656,593,9418.62,6,4,7,3,5,0,0
